GeneID,150-1,150-2,150-3,33-1,33-2,33-3,con-1,con-2,con-3
ZNF813,0,0,0,0,2,0,0,0,0
ZNF812P,0,0,0,0,0,0,0,0,0
ZNF81,0,0,0,0,0,2,0,0,0
ZNF808,0,0,0,34,6,11,0,16,0
ZNF807P,0,0,0,0,0,2,0,0,0
ZNF806,0,0,0,0,0,0,0,0,0
ZNF805,0,2,0,0,10,39,17,24,16
ZNF804B,0,0,0,8,0,0,0,0,0
ZNF804A,0,0,0,0,0,0,0,0,0
ZNF800,0,0,0,0,4,15,0,0,0
ZNF80,0,0,0,0,0,0,0,0,0
ZNF8-ERVK3-1,0,0,0,0,0,0,0,0,0
ZNF8,0,0,0,0,0,2,0,2,2
ZNF799,0,0,1,4,10,15,8,6,8
ZNF793-AS1,0,1,4,26,8,40,40,17,33
ZNF793,1,1,3,2,23,20,19,4,2
ZNF792,0,0,0,0,4,12,2,10,0
ZNF791,3,0,0,6,0,6,2,7,0
ZNF790-AS1,7,28,16,51,69,122,106,110,81
ZNF790,0,0,1,0,4,32,8,0,0
ZNF79,0,0,2,27,10,20,6,10,13
ZNF789,19,2,6,86,108,103,156,86,101
ZNF788P,0,0,0,6,0,0,10,0,0
ZNF787,0,0,0,0,10,12,2,0,2
ZNF786,0,0,0,4,0,6,4,0,8
ZNF785,1,4,0,25,2,28,28,0,9
ZNF784,2,0,0,0,14,8,2,12,0
ZNF783,0,0,2,4,0,8,14,0,6
ZNF782,0,0,0,4,0,1,1,0,2
ZNF781,0,0,0,0,0,0,10,0,0
ZNF780B,0,0,0,0,0,5,8,0,2
ZNF780A,0,1,0,0,1,17,2,0,0
ZNF778,0,0,0,0,0,6,0,0,0
ZNF777,1,0,0,0,0,0,0,0,2
ZNF776,0,0,0,8,8,28,4,1,4
ZNF775,0,0,0,0,0,0,0,0,2
ZNF774,0,0,0,0,2,0,0,0,0
ZNF773,0,0,0,0,2,0,1,0,0
ZNF772,0,0,0,2,0,8,18,24,12
ZNF771,0,4,0,0,15,21,8,20,41
ZNF770,1,0,2,31,8,27,12,6,0
ZNF77,0,0,0,0,0,4,0,0,0
ZNF768,2,0,0,6,2,20,10,4,0
ZNF767P,0,0,0,0,8,0,0,0,12
ZNF766,0,0,0,0,0,4,0,0,0
ZNF765-ZNF761,0,0,0,0,0,0,0,0,0
ZNF765,0,0,0,6,0,11,2,6,4
ZNF764,0,0,0,0,12,38,1,0,12
ZNF763,0,0,0,0,0,0,0,0,2
ZNF761,0,0,0,0,0,0,0,0,0
ZNF76,0,0,0,5,0,4,0,0,4
ZNF75D,0,0,0,0,8,2,0,2,2
ZNF75A,0,0,0,0,0,0,0,0,0
ZNF750,6,0,2,30,15,23,27,82,47
ZNF749,0,0,1,8,36,33,40,10,9
ZNF747,0,0,0,0,0,8,4,10,6
ZNF746,0,6,0,0,0,11,14,2,0
ZNF740,93,118,90,909,837,989,1142,1069,616
ZNF74,0,0,0,0,2,4,0,0,0
ZNF738,0,0,0,0,0,0,0,0,0
ZNF737,25,7,15,116,156,229,236,181,214
ZNF736,0,2,0,0,2,4,4,0,0
ZNF735,0,0,0,0,0,0,0,0,0
ZNF733P,0,0,2,0,0,4,0,0,3
ZNF732,0,0,0,0,0,10,4,0,0
ZNF730,0,0,0,0,0,0,0,0,0
ZNF729,0,0,0,0,0,0,0,0,0
ZNF728,0,0,0,0,0,0,0,0,0
ZNF727,0,0,0,8,19,30,14,6,10
ZNF726,0,0,0,0,0,8,0,0,0
ZNF724,0,0,0,0,0,2,0,0,4
ZNF723,0,0,0,0,0,0,0,0,0
ZNF722P,0,0,0,0,0,2,0,0,0
ZNF721,0,0,0,0,0,2,0,6,0
ZNF720,0,0,0,0,0,3,0,0,2
ZNF718,0,0,1,4,13,21,10,2,23
ZNF717,0,0,0,0,4,0,0,0,0
ZNF716,18,16,18,154,185,344,307,123,258
ZNF714,0,0,0,0,0,2,2,0,0
ZNF713,0,1,0,6,5,12,0,5,0
ZNF711,6,5,11,83,115,164,34,124,74
ZNF710-AS1,9,8,17,172,250,261,208,305,188
ZNF710,15,4,2,64,95,99,88,67,111
ZNF71-SMIM17,0,0,0,0,0,0,0,0,0
ZNF71,0,2,0,0,0,2,0,1,0
ZNF709,0,0,0,0,2,2,0,16,0
ZNF708,0,0,0,0,0,2,0,0,0
ZNF707,0,0,0,0,0,0,0,0,0
ZNF706,4,0,0,1,2,8,2,0,0
ZNF705G,0,0,0,0,0,0,0,0,0
ZNF705E,0,0,0,0,0,0,0,1,0
ZNF705D,0,0,0,0,0,0,0,0,0
ZNF705B,0,0,0,0,0,0,0,0,0
ZNF705A,0,0,0,0,0,0,0,0,0
ZNF704,2,4,0,3,14,56,14,0,11
ZNF703,0,0,1,14,0,2,0,0,0
ZNF702P,0,0,1,0,0,0,0,0,0
ZNF701,0,0,0,0,0,0,0,0,0
ZNF700,0,0,0,0,0,4,1,4,2
ZNF70,6,0,0,0,0,0,0,0,0
ZNF7,2,0,13,13,33,40,50,21,67
ZNF699,0,2,0,0,2,14,0,4,0
ZNF697,0,0,2,0,6,25,0,2,2
ZNF696,0,2,0,0,0,0,0,0,3
ZNF695,0,0,0,0,0,0,0,2,0
ZNF692,0,0,2,17,12,11,17,10,16
ZNF691,0,0,0,0,0,1,0,0,0
ZNF69,0,0,0,6,5,2,2,2,1
ZNF689,2,7,0,18,64,22,34,0,16
ZNF688,0,2,0,0,9,6,0,0,3
ZNF687-AS1,1,3,0,16,30,19,19,0,24
ZNF687,4,6,4,24,41,54,48,75,55
ZNF684,0,2,0,0,0,0,0,6,0
ZNF683,0,0,0,0,0,0,0,0,0
ZNF682,2,0,0,0,4,4,0,13,0
ZNF681,0,0,0,0,0,2,0,2,0
ZNF680,0,4,0,3,0,18,6,0,2
ZNF679,0,0,0,0,0,0,0,0,0
ZNF678,0,0,0,1,0,0,8,0,2
ZNF677,0,0,0,0,0,0,0,0,0
ZNF676,0,0,0,0,0,0,0,0,0
ZNF675,0,0,0,0,0,0,0,0,10
ZNF674-AS1,0,0,0,0,0,0,0,0,0
ZNF674,0,0,2,20,4,10,0,16,0
ZNF672,2,1,0,8,2,15,8,5,10
ZNF671,0,1,3,48,28,65,42,10,67
ZNF670-ZNF695,0,0,0,0,0,0,0,0,0
ZNF670,0,0,0,0,0,16,2,0,0
ZNF669,0,0,0,0,0,0,0,6,1
ZNF668,5,3,2,20,19,35,7,7,22
ZNF667-AS1,0,0,0,0,0,0,0,0,0
ZNF667,0,0,0,0,0,0,0,0,0
ZNF665,0,0,0,0,0,2,0,0,4
ZNF664-RFLNA,0,0,0,0,0,0,0,0,0
ZNF664,0,1,0,13,8,39,8,6,12
ZNF663P,0,0,0,0,0,0,0,0,0
ZNF662,0,0,0,0,0,0,0,0,0
ZNF660-ZNF197,0,0,0,0,0,0,0,0,0
ZNF660,0,8,4,54,5,46,4,27,10
ZNF66,0,0,0,6,0,0,0,0,0
ZNF658B,1,0,0,0,0,2,0,0,0
ZNF658,0,0,0,0,0,0,12,4,2
ZNF655,4,16,2,44,73,50,39,93,31
ZNF654,3,6,2,63,70,79,48,48,40
ZNF653,0,0,0,0,0,0,0,0,0
ZNF652,4,0,0,2,2,42,7,4,0
ZNF649-AS1,0,0,0,0,0,0,0,0,0
ZNF649,0,0,0,0,0,0,0,0,0
ZNF648,0,0,0,0,0,0,0,0,0
ZNF646,10,2,8,35,14,58,113,42,32
ZNF644,1,0,1,0,2,58,2,8,8
ZNF641,0,0,0,8,2,3,2,3,0
ZNF639,0,3,0,9,0,10,6,14,10
ZNF638,4,0,0,0,10,51,44,12,0
ZNF630-AS1,0,0,1,8,24,22,17,44,15
ZNF630,0,1,0,0,2,0,0,0,0
ZNF629,0,4,1,44,46,37,33,20,18
ZNF628,0,0,0,0,2,0,0,0,0
ZNF627,0,0,0,8,6,16,8,0,0
ZNF626,0,0,0,0,0,1,0,0,0
ZNF625-ZNF20,0,0,0,0,0,4,0,0,0
ZNF625,0,0,0,0,0,0,0,0,0
ZNF624,0,0,0,0,0,1,0,4,0
ZNF623,0,0,0,0,0,0,0,0,0
ZNF622,0,6,0,5,11,18,2,0,4
ZNF621,0,0,0,2,0,6,0,0,2
ZNF620,0,0,0,0,10,16,8,15,2
ZNF619,0,0,0,0,0,4,0,0,2
ZNF618,0,0,0,0,0,4,1,0,0
ZNF616,0,2,0,2,12,20,8,0,0
ZNF615,0,0,0,4,0,0,2,0,2
ZNF614,0,0,0,2,6,7,0,0,6
ZNF613,0,2,0,0,0,0,0,0,10
ZNF611,0,0,0,0,0,8,2,0,0
ZNF610,0,0,0,0,0,0,0,0,0
ZNF609,0,0,1,2,19,8,4,5,0
ZNF608,0,0,0,0,12,8,8,5,0
ZNF607,0,0,0,0,6,10,12,0,4
ZNF606,14,1,11,43,33,47,52,39,30
ZNF605,1,0,0,0,2,6,2,0,2
ZNF600,2,0,0,0,2,20,8,0,6
ZNF599,0,0,0,0,0,0,0,4,4
ZNF598,4,2,0,32,14,20,62,29,16
ZNF597,0,1,0,0,0,3,0,0,0
ZNF596,0,0,0,16,5,13,16,12,0
ZNF595,0,0,0,4,0,0,0,4,0
ZNF594,0,0,0,0,0,3,0,0,0
ZNF593,0,0,0,2,0,18,14,6,0
ZNF592,8,2,1,12,26,96,36,64,18
ZNF589,0,0,0,4,0,12,12,6,2
ZNF587B,0,0,0,8,0,8,0,0,6
ZNF587,1,0,1,0,14,49,4,26,8
ZNF586,0,1,0,3,19,24,18,34,10
ZNF585B,0,0,0,14,0,20,0,0,2
ZNF585A,0,0,0,4,0,6,0,0,0
ZNF584,0,1,2,0,2,6,8,0,0
ZNF583,0,0,0,0,0,0,0,0,0
ZNF582-AS1,0,1,0,1,34,30,39,6,1
ZNF582,0,0,0,0,0,0,0,0,0
ZNF581,0,0,0,2,4,0,2,0,0
ZNF580,1,0,0,8,8,2,4,0,0
ZNF579,0,0,0,0,0,0,0,0,0
ZNF578,0,0,0,0,0,4,0,0,0
ZNF577,0,0,0,0,0,0,0,0,0
ZNF576,0,0,0,25,4,1,10,1,0
ZNF575,0,0,0,4,0,14,17,0,12
ZNF574,0,0,0,0,0,0,0,0,0
ZNF573,0,0,0,0,0,4,0,0,0
ZNF572,0,0,0,0,0,4,0,0,6
ZNF571-AS1,14,8,11,83,149,120,129,84,90
ZNF571,0,0,6,0,4,9,8,0,10
ZNF570,0,0,0,0,0,0,8,0,0
ZNF57,0,2,3,22,1,4,20,10,61
ZNF569,0,0,0,0,0,8,6,8,6
ZNF568,0,0,0,0,0,8,5,13,2
ZNF567,0,2,0,0,0,6,7,0,4
ZNF566,0,0,0,0,0,8,2,0,0
ZNF565,5,1,2,1,8,28,21,7,12
ZNF564,0,0,0,0,0,6,2,4,1
ZNF563,0,0,0,0,0,2,2,0,0
ZNF562,4,8,5,36,91,67,49,44,82
ZNF561-AS1,0,0,0,6,4,3,4,0,0
ZNF561,0,2,1,1,0,14,8,0,0
ZNF560,0,0,0,0,0,0,0,0,0
ZNF56,0,0,0,0,0,2,0,0,1
ZNF559-ZNF177,0,0,0,0,0,0,0,0,0
ZNF559,0,0,0,0,8,14,14,0,0
ZNF558,0,0,0,8,8,8,4,0,0
ZNF557,0,0,0,12,30,3,0,0,6
ZNF556,0,0,0,8,0,4,0,0,0
ZNF555,0,0,0,4,0,4,0,0,0
ZNF554,0,0,0,0,0,0,0,0,0
ZNF552,0,0,0,2,6,19,12,23,7
ZNF551,0,0,0,2,12,25,6,0,4
ZNF550,0,0,0,4,8,16,56,26,14
ZNF549,0,0,0,2,8,7,4,18,2
ZNF548,0,0,0,0,2,22,6,0,4
ZNF547,0,0,0,0,0,0,0,0,0
ZNF546,1,0,1,34,50,52,30,58,70
ZNF544,4,2,2,41,49,65,22,37,58
ZNF543,0,0,0,4,0,6,0,9,2
ZNF542P,0,0,0,0,0,0,0,0,0
ZNF541,0,0,0,0,0,0,0,0,0
ZNF540,1,6,1,14,0,14,16,16,14
ZNF536,0,0,0,0,0,1,0,0,0
ZNF534,0,0,0,0,0,0,0,0,0
ZNF532,1,0,1,1,1,11,18,9,25
ZNF530,0,0,0,0,0,2,4,0,0
ZNF529-AS1,7,14,20,60,39,149,115,58,78
ZNF529,10,7,5,58,121,275,139,267,192
ZNF528-AS1,0,0,0,0,0,0,0,0,0
ZNF528,0,0,0,0,0,0,0,0,0
ZNF527,0,2,0,0,1,0,0,0,2
ZNF526,1,0,4,6,0,2,2,2,0
ZNF525,4,2,0,2,28,42,14,9,12
ZNF524,0,0,0,0,3,8,6,0,8
ZNF521,0,0,0,0,0,0,0,0,0
ZNF519,1,0,0,6,4,2,0,0,0
ZNF518B,0,0,1,6,0,7,0,0,4
ZNF518A,8,0,1,20,75,67,59,47,33
ZNF517,4,18,17,87,133,147,138,167,82
ZNF516-DT,0,0,0,0,0,0,6,0,0
ZNF516,0,1,0,1,24,12,0,10,0
ZNF514,1,0,0,0,10,2,0,0,2
ZNF513,7,1,4,63,42,25,42,12,13
ZNF512B,1,0,0,0,0,12,5,16,1
ZNF512,0,0,0,14,14,19,10,4,2
ZNF511,0,2,8,13,50,66,29,37,15
ZNF510,0,0,0,0,3,14,0,0,2
ZNF507,4,2,0,6,0,34,8,0,26
ZNF506,7,2,7,30,41,87,38,33,64
ZNF503-AS2,3,5,3,67,18,53,84,38,61
ZNF503-AS1,0,0,0,0,2,0,0,0,0
ZNF503,0,1,0,0,0,4,0,0,5
ZNF502,0,0,0,0,0,0,0,0,0
ZNF501,0,0,0,0,0,0,0,0,0
ZNF500,1,0,0,0,0,22,4,0,0
ZNF497,6,0,0,0,0,5,1,4,0
ZNF496,1,0,4,26,1,7,11,9,6
ZNF493,0,0,0,0,2,7,0,0,0
ZNF492,0,0,0,11,0,4,0,0,0
ZNF491,0,0,0,0,0,0,0,0,0
ZNF490,0,0,0,0,0,2,8,0,0
ZNF488,0,0,0,0,0,0,0,0,0
ZNF487,0,1,4,2,2,4,4,6,6
ZNF486,1,0,3,26,59,54,32,31,42
ZNF485,2,0,0,0,13,4,0,6,0
ZNF484,2,0,0,0,2,6,0,0,1
ZNF483,0,1,1,0,0,6,0,0,0
ZNF480,0,0,0,0,0,0,0,0,0
ZNF48,1,0,0,18,4,10,8,2,21
ZNF479,0,0,0,0,6,0,0,0,0
ZNF474,0,0,0,0,0,0,0,0,0
ZNF473,7,2,0,10,0,20,12,8,3
ZNF471,0,0,0,0,0,0,0,0,0
ZNF470,0,0,0,0,0,0,0,0,0
ZNF469,0,0,0,0,0,0,0,0,0
ZNF468,4,0,0,10,6,54,28,2,8
ZNF467,0,0,0,0,0,0,0,0,0
ZNF462,1,0,0,4,0,12,14,0,4
ZNF461,0,2,2,12,16,14,8,0,0
ZNF460-AS1,3,0,3,2,4,10,31,27,4
ZNF460,3,2,0,29,9,34,61,18,24
ZNF454,0,0,0,0,0,0,0,0,0
ZNF451-AS1,0,1,0,0,17,8,14,7,50
ZNF451,0,0,8,12,11,51,8,8,13
ZNF45,4,2,4,10,43,53,36,27,17
ZNF449,0,0,0,0,10,10,2,0,0
ZNF446,28,9,5,124,94,111,153,127,95
ZNF445,0,0,0,4,0,16,8,6,4
ZNF444,0,0,0,0,0,4,0,0,0
ZNF443,6,4,0,0,0,7,2,0,2
ZNF442,0,0,0,0,0,0,0,0,0
ZNF441,0,0,0,0,10,2,2,1,0
ZNF440,0,2,0,2,4,10,6,0,2
ZNF44,1,0,0,0,2,6,16,0,0
ZNF439,0,0,0,0,0,0,4,3,4
ZNF438,0,0,0,0,0,10,8,14,0
ZNF436-AS1,0,0,3,57,6,9,21,8,24
ZNF436,16,17,9,144,172,147,213,121,76
ZNF433-AS1,5,2,2,8,3,20,9,36,0
ZNF433,1,1,0,24,31,32,41,49,9
ZNF432,0,0,0,2,4,15,10,8,2
ZNF431,0,1,0,0,0,17,0,2,2
ZNF430,0,0,0,0,0,4,5,2,0
ZNF43,0,0,0,0,28,0,0,0,0
ZNF429,0,0,0,12,0,7,3,11,12
ZNF428,2,2,0,16,2,10,0,0,4
ZNF426-DT,0,0,0,0,0,3,0,0,0
ZNF426,2,0,0,0,0,3,12,9,0
ZNF425,0,0,0,0,0,2,4,0,0
ZNF423,0,0,0,0,0,0,0,0,0
ZNF420,0,2,4,0,0,8,12,8,8
ZNF419,0,4,0,4,14,4,0,0,0
ZNF418,0,0,0,0,0,0,0,0,0
ZNF417,0,0,2,0,0,13,4,6,6
ZNF416,0,0,0,8,0,8,0,0,0
ZNF415,0,0,0,0,0,0,0,0,0
ZNF414,0,0,0,4,3,12,1,0,4
ZNF410,0,0,2,0,5,29,6,12,12
ZNF41,0,1,1,7,1,35,24,20,8
ZNF408,0,0,0,10,12,2,0,0,0
ZNF407,0,2,0,2,0,10,2,0,2
ZNF404,0,0,0,40,10,42,38,10,43
ZNF398,0,0,0,2,0,15,2,2,0
ZNF397,3,11,11,10,115,59,13,60,41
ZNF396,0,0,0,0,0,0,0,0,0
ZNF395,0,0,0,2,2,9,14,0,0
ZNF394,13,11,11,102,113,182,156,113,135
ZNF391,1,0,2,7,37,15,22,18,17
ZNF385D-AS2,0,0,0,0,0,0,0,0,0
ZNF385D-AS1,0,0,0,0,0,0,0,0,0
ZNF385D,0,0,0,0,0,0,0,0,0
ZNF385C,1,1,1,0,3,7,29,52,9
ZNF385B,0,0,0,0,0,0,0,0,0
ZNF385A,0,0,0,0,0,0,0,0,10
ZNF384,0,0,0,0,20,4,11,2,0
ZNF383,0,0,4,0,4,9,8,0,4
ZNF382,0,0,2,0,0,2,0,0,0
ZNF37BP,1,0,0,6,0,8,4,0,18
ZNF37A,0,0,0,0,0,8,2,0,0
ZNF367,0,2,0,12,2,18,20,6,4
ZNF366,0,0,0,0,0,0,0,0,0
ZNF365,0,0,0,0,0,0,0,0,4
ZNF362,0,0,0,6,0,0,0,2,0
ZNF358,0,0,0,0,0,0,0,0,0
ZNF354C,36,46,33,268,262,432,405,506,403
ZNF354B,0,0,0,0,0,4,4,0,0
ZNF354A,0,0,0,0,0,2,0,0,1
ZNF350-AS1,0,4,0,1,4,1,0,0,16
ZNF350,0,0,0,0,1,2,2,0,2
ZNF35,0,0,0,6,0,4,0,4,0
ZNF347,0,0,0,0,4,0,0,0,0
ZNF346,0,0,0,4,2,2,8,2,0
ZNF345,0,2,0,8,4,6,0,19,8
ZNF343,0,0,0,0,0,0,0,0,6
ZNF341-AS1,0,0,0,0,0,0,0,0,0
ZNF341,1,0,0,4,1,5,0,0,0
