GeneID,150-2,150-3,33-1,33-2,33-3,con-1,con-2,con-3
AP2M1,0.8708708708708709,0.0,0.8048048048048049,0.7797797797797799,0.8053053053053053,0.8828828828828829,0.7362362362362362,0.8453453453453453
AP2B1,0.8918918918918919,0.0,0.8228228228228228,0.8743743743743744,0.9129129129129129,0.8173173173173174,0.8283283283283283,0.7927927927927927
AP2A2,0.0,0.0,0.0,0.0,0.539039039039039,0.0,0.0,0.0
AP2A1,0.0,0.0,0.0,0.0,0.8053053053053053,0.7232232232232232,0.0,0.0
AP1S3,0.0,0.0,0.7097097097097097,0.7797797797797799,0.539039039039039,0.0,0.0,0.6196196196196196
AP1S2,0.8918918918918919,0.0,0.8588588588588588,0.0,0.6601601601601601,0.5940940940940941,0.8218218218218218,0.6196196196196196
AP1S1,0.9404404404404405,0.0,0.9289289289289289,0.8268268268268268,0.9605643183842807,0.8958958958958959,0.9204204204204205,0.9434475460903381
AP1M2,0.8918918918918919,0.0,0.8933933933933933,0.7442442442442443,0.8568568568568569,0.8173173173173174,0.8843843843843844,0.7927927927927927
AP1M1,0.0,0.0,0.8048048048048049,0.0,0.6476476476476476,0.0,0.0,0.6196196196196196
AP1G2,0.9109109109109108,0.9674674674674675,0.9564597932253323,0.9726164312523388,0.9641331718862144,0.9784770315229205,0.9776357119143452,0.9753560615016841
AP1G1,0.8353353353353354,0.0,0.7847847847847849,0.7797797797797799,0.8983983983983983,0.7962962962962963,0.8348348348348349,0.8673673673673674
AP1B1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP1B1,0.0,0.8613613613613613,0.8383383383383383,0.7572572572572573,0.6721721721721722,0.8103103103103103,0.0,0.7372372372372372
AP1AR,0.9109109109109108,0.0,0.944944944944945,0.8743743743743744,0.8358358358358358,0.7602602602602603,0.7202202202202201,0.9209209209209209
AOX3P-AOX2P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
