,5-AZA_150-1,5-AZA_150-2,5-AZA_150-3,5-AZA_33-1,5-AZA_33-2,5-AZA_33-3,5-AZA_con-1,5-AZA_con-2,5-AZA_con-3
A1BG,36,20,28,160,149,244,168,193,120
A1BG-AS1,35,33,30,159,180,333,238,162,246
A1CF,0,0,0,0,0,0,0,0,0
A2M,97,105,71,754,883,885,974,844,731
A2M-AS1,0,0,0,0,6,2,1,8,4
A2ML1,0,0,0,0,0,0,7,0,0
A2MP1,0,0,0,6,6,1,4,16,8
A3GALT2,6,1,1,5,9,15,7,0,30
A4GALT,5,1,5,0,59,56,16,37,16
A4GNT,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0
AAAS,5,0,7,6,44,13,33,15,3
AACS,0,0,1,0,4,8,2,0,3
AACSP1,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,8,0
AADACL2-AS1,0,0,0,0,0,0,0,4,0
AADACL3,0,0,0,0,0,0,0,0,0
AADACL4,3,0,9,0,4,14,0,36,11
AADACP1,0,0,0,0,0,0,0,0,0
AADAT,1,0,0,27,42,43,21,34,29
AAGAB,0,0,0,0,0,0,0,0,0
AAK1,135,123,99,873,1032,1227,1796,1760,1611
AAMDC,4,1,7,41,20,34,29,34,31
AAMP,0,0,0,0,0,0,0,0,0
AANAT,0,0,0,0,0,0,0,0,0
AAR2,0,0,0,0,0,0,0,0,0
AARD,0,0,0,0,0,0,0,0,0
AARS1,15,30,27,276,248,322,271,270,346
AARS2,0,0,0,0,0,0,0,0,0
AARSD1,0,0,0,0,0,0,0,0,0
AASDH,9,7,5,53,54,96,127,59,81
AASDHPPT,0,0,0,0,0,0,0,0,0
AASS,34,24,18,271,395,378,434,345,312
AATBC,0,0,0,0,0,2,0,0,0
AATF,0,1,1,79,30,18,25,24,22
AATK,0,0,0,0,0,0,0,0,0
ABALON,0,0,0,0,0,0,0,0,0
ABAT,3,7,5,35,53,94,62,83,63
ABCA1,0,0,0,0,0,0,0,0,0
ABCA10,0,0,0,0,8,6,0,0,0
ABCA11P,1,0,0,0,1,16,0,18,34
ABCA12,0,0,0,0,0,0,0,0,0
ABCA13,0,0,0,0,20,18,6,1,5
ABCA17P,1,0,2,7,38,36,32,16,33
ABCA2,188,250,183,1104,1270,1372,1677,1299,1092
ABCA3,209,243,144,1623,1427,1397,1525,1524,934
ABCA4,74,102,114,593,577,719,927,689,771
ABCA5,0,0,0,0,0,0,0,0,0
ABCA6,0,0,0,0,2,6,0,2,17
ABCA7,28,30,32,134,81,147,79,116,48
ABCA8,0,0,0,5,0,1,8,5,0
ABCA9,0,0,0,0,0,0,0,0,1
ABCA9-AS1,0,0,0,0,0,0,0,0,0
ABCB1,71,87,62,484,397,731,762,763,519
ABCB10,0,0,0,0,0,0,0,0,0
ABCB11,85,99,106,866,961,1217,1198,973,966
ABCB4,1,7,5,35,50,29,32,99,65
ABCB5,0,0,0,0,0,0,0,0,0
ABCB6,1,5,6,45,83,60,78,30,38
ABCB7,0,0,0,0,0,0,0,0,0
ABCB8,47,56,67,381,350,592,513,591,521
ABCB9,8,6,7,98,74,96,84,70,68
ABCC1,60,65,59,343,494,517,411,439,401
ABCC10,7,17,2,75,42,72,29,42,18
ABCC11,0,3,0,4,2,6,8,30,6
ABCC12,0,0,0,0,0,1,0,0,0
ABCC13,0,0,0,0,0,0,0,0,0
ABCC2,0,0,0,0,0,0,0,0,0
ABCC3,0,0,0,0,0,11,0,0,0
ABCC4,5,0,9,31,30,47,59,42,69
ABCC5,17,29,19,252,231,263,192,235,181
ABCC5-AS1,0,0,0,0,0,0,0,0,0
ABCC6,90,86,55,397,572,669,573,700,461
ABCC6P1,0,0,0,0,13,6,14,0,8
ABCC6P2,0,0,0,0,0,0,0,0,0
ABCC8,247,193,200,1537,1824,2044,2229,2206,2504
ABCC9,354,342,322,2443,2256,3047,3486,2804,2477
ABCD1,12,8,4,141,201,117,117,266,86
ABCD2,0,0,0,0,0,0,0,0,0
ABCD3,0,0,0,0,0,0,0,0,0
ABCD4,0,0,0,4,8,7,9,0,3
ABCE1,0,0,0,0,0,0,0,0,0
ABCF1,135,160,105,1036,1071,1201,1401,1036,1220
ABCF2,26,15,29,148,148,285,210,303,190
ABCF3,0,0,0,0,0,0,0,0,0
ABCG1,0,0,0,0,0,0,0,0,0
ABCG2,37,34,28,207,270,302,396,291,263
ABCG4,21,2,9,36,34,58,59,38,62
ABCG5,9,10,9,65,56,110,123,89,75
ABCG8,0,0,0,0,0,0,0,0,0
ABHD1,0,0,0,0,0,0,0,0,0
ABHD10,0,0,4,0,0,0,8,0,0
ABHD11,2,0,0,33,10,28,47,12,6
ABHD11-AS1,0,0,2,0,16,6,17,0,13
ABHD12,9,14,20,157,137,132,117,56,102
ABHD12B,70,37,57,275,246,425,402,283,337
ABHD13,0,0,0,0,0,0,0,0,0
ABHD14A,0,0,0,12,4,1,10,0,6
ABHD14A-ACY1,0,0,0,0,0,0,0,0,0
ABHD14B,99,122,92,726,785,620,520,587,494
ABHD15,53,13,16,186,268,335,225,210,213
ABHD16A,4,2,4,48,48,87,54,103,77
ABHD16B,0,0,0,0,0,0,0,0,0
ABHD17A,74,121,112,777,682,745,776,1024,508
ABHD17B,105,194,114,890,1002,1246,1276,1370,1027
ABHD17C,0,0,0,0,0,0,0,0,0
ABHD18,0,0,0,3,0,1,0,0,0
ABHD2,33,30,15,77,91,86,51,92,65
ABHD3,0,3,1,10,22,14,9,26,23
ABHD4,0,0,0,0,0,2,0,0,5
ABHD5,0,0,3,28,52,36,37,35,66
ABHD6,24,18,8,92,161,117,90,59,109
ABHD8,5,3,0,23,18,43,1,22,27
ABI1,0,0,0,0,0,0,0,0,0
ABI2,14,16,14,96,265,285,207,161,219
ABI3,0,0,0,0,0,0,0,0,0
ABI3BP,0,0,0,0,0,0,0,1,0
ABITRAM,4,0,0,0,0,1,0,0,0
ABL1,140,198,111,849,906,887,1199,1142,677
ABL2,10,7,6,6,50,67,64,70,65
ABLIM1,38,32,25,241,269,387,278,317,280
ABLIM2,4,10,1,45,83,96,103,113,86
ABLIM3,1,1,7,0,18,18,19,19,2
ABO,0,0,0,0,0,0,0,0,0
ABR,32,17,26,271,286,311,602,521,274
ABRA,1,0,0,0,10,9,40,36,47
ABRACL,0,0,0,0,0,0,0,0,0
ABRAXAS1,0,0,0,0,0,0,0,0,0
ABRAXAS2,2,1,0,0,8,9,0,0,8
ABT1,165,193,132,1667,1558,1481,2054,1773,1346
ABTB1,0,0,0,0,5,1,0,0,14
ABTB2,110,101,108,824,691,846,875,568,595
ACAA1,0,0,0,0,11,0,0,0,1
ACAA2,0,0,0,0,0,0,0,0,0
ACACA,5,9,1,70,48,84,50,65,77
ACACB,14,2,13,115,173,124,83,109,88
ACAD10,0,0,0,0,0,0,0,0,0
ACAD11,0,0,0,0,0,0,0,0,0
ACAD8,0,0,0,2,0,0,0,0,0
ACAD9,93,93,103,641,666,1173,1059,837,682
ACADL,0,0,0,0,0,0,0,0,0
ACADM,0,0,1,0,33,13,6,6,5
ACADS,0,0,0,0,0,3,0,0,0
ACADSB,0,0,0,0,0,1,0,0,0
ACADVL,36,37,27,143,179,183,289,297,115
ACAN,0,0,0,0,0,0,0,0,0
ACAP1,1,1,0,22,18,60,49,18,18
ACAP2,1,0,3,44,27,14,26,2,6
ACAP3,4,5,2,82,68,78,47,143,56
ACAT1,12,5,10,76,72,144,127,128,111
ACAT2,0,0,0,0,0,0,0,0,0
ACBD3,10,1,0,0,8,21,26,0,16
ACBD3-AS1,0,0,0,0,0,0,0,0,0
ACBD4,7,2,1,2,35,58,84,8,12
ACBD5,4,0,0,0,14,1,0,0,6
ACBD6,1,0,1,0,0,5,0,1,0
ACBD7,0,0,0,0,0,0,0,0,0
ACBD7-DCLRE1CP1,0,0,0,0,0,0,0,0,0
ACCS,0,0,0,0,0,0,0,0,0
ACCSL,0,0,0,0,0,0,0,0,0
ACD,0,0,0,0,0,2,0,1,0
ACE,0,0,0,0,0,0,0,0,0
ACE2,1,0,0,0,0,1,9,0,1
ACER1,0,1,0,0,0,8,0,0,3
ACER2,51,46,74,240,311,341,341,277,257
ACER3,0,0,0,0,0,1,0,0,0
ACHE,12,2,2,115,54,127,100,47,94
ACIN1,34,19,26,137,111,155,207,160,148
ACKR1,0,0,0,0,0,0,0,0,0
ACKR2,0,0,0,1,10,7,6,9,11
ACKR3,2,0,10,39,84,29,10,44,54
ACKR4,0,0,0,0,0,0,0,0,0
ACLY,15,14,23,120,112,105,214,109,111
ACMSD,2,1,4,6,10,28,23,15,19
ACO1,293,362,302,3207,2868,2877,3946,3294,2818
ACO2,2,5,5,56,57,70,41,85,71
ACOD1,0,0,0,0,0,0,0,0,0
ACOT1,13,8,13,80,66,160,72,113,83
ACOT11,6,19,5,52,101,118,129,97,116
ACOT12,1,0,1,0,8,13,1,4,0
ACOT13,93,126,61,1016,913,1312,1169,982,1038
ACOT2,44,48,39,253,322,602,373,407,361
ACOT4,1,0,12,0,5,7,17,22,9
ACOT6,5,0,2,36,12,46,49,41,57
ACOT7,103,112,97,799,624,592,666,682,462
ACOT8,5,2,7,40,63,163,82,52,84
ACOT9,105,157,101,782,863,965,1253,727,750
ACOX1,0,1,0,1,9,1,11,11,11
ACOX2,0,0,0,0,0,1,1,0,0
ACOX3,1,7,2,20,17,22,12,47,31
ACOXL,1,1,0,12,63,35,31,9,23
ACOXL-AS1,0,0,0,0,0,5,13,1,0
ACP1,887,888,839,7113,6776,8262,9791,7661,7543
ACP2,30,10,31,190,153,134,189,105,143
ACP3,10,37,18,95,149,154,160,79,95
ACP4,4,11,1,13,10,17,42,15,41
ACP5,0,0,0,0,0,0,0,0,0
ACP6,0,0,0,0,0,0,0,0,0
ACP7,579,764,476,5092,4026,4053,6336,5500,4055
ACR,36,23,21,156,134,150,119,124,78
ACRBP,6507,8360,5780,61840,57208,50290,79618,70752,49876
ACRV1,0,1,0,0,0,0,0,0,0
ACSBG1,0,0,0,0,0,0,0,0,0
ACSBG2,2,5,0,8,22,31,20,34,28
ACSF2,0,0,0,0,0,2,0,0,0
ACSF3,0,0,0,6,0,0,0,0,0
ACSL1,1,0,0,8,0,16,23,38,19
ACSL3,0,0,0,0,0,0,0,0,0
ACSL4,0,0,0,0,0,0,10,0,9
ACSL5,0,0,0,0,0,1,0,0,0
ACSL6,51,38,33,183,376,555,393,373,505
ACSM1,0,0,0,0,0,0,0,0,0
ACSM2A,0,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0,0
ACSM3,0,6,4,72,72,92,155,169,151
ACSM4,8,12,0,0,30,14,26,15,17
ACSM5,0,0,0,0,0,0,0,0,0
ACSM6,11,4,11,20,89,79,96,82,52
ACSS1,10,0,6,28,35,52,55,22,37
ACSS2,0,0,0,0,0,0,0,0,0
ACSS3,0,0,0,0,0,0,0,0,0
ACTA1,38,46,59,307,294,380,515,390,408
ACTA2,1,1,3,10,26,34,39,27,65
ACTA2-AS1,17,35,29,154,123,189,230,149,201
ACTB,7,4,5,40,20,7,10,10,4
ACTBL2,0,0,0,0,0,0,0,0,0
ACTC1,0,0,0,0,0,0,0,0,0
ACTG1,0,0,0,0,0,0,0,0,0
ACTG1P17,0,0,0,0,0,3,0,0,1
ACTG1P20,89,127,85,601,701,820,714,661,596
ACTG1P4,0,0,0,0,0,0,0,0,3
ACTG2,0,0,0,0,0,0,0,0,0
ACTL10,0,0,1,0,4,14,8,1,0
ACTL6A,0,0,0,0,0,0,0,0,0
ACTL6B,0,0,0,7,0,0,0,0,0
ACTL7A,0,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,10,0,0,0,0
ACTL8,5,1,3,16,19,16,40,23,6
ACTL9,0,0,0,0,0,0,0,0,0
ACTN1,4,0,0,6,50,42,37,59,24
ACTN1-AS1,0,0,0,24,49,18,38,77,20
ACTN2,204,146,185,1228,1211,1777,1813,1249,1356
ACTN3,6,2,20,75,48,63,35,45,65
ACTN4,4,2,1,6,11,11,16,8,10
ACTR10,7,6,1,0,0,6,0,0,0
ACTR1A,0,0,0,0,0,0,0,0,0
ACTR1B,0,0,0,0,1,0,0,0,0
ACTR2,10,10,1,33,49,49,94,30,39
ACTR3,234,239,204,2155,2035,2088,2020,1769,1500
ACTR3-AS1,4,1,0,0,4,12,23,23,8
ACTR3B,0,0,0,0,0,0,0,0,0
ACTR3BP2,0,0,0,0,0,0,0,0,0
ACTR3BP5,1,0,1,15,38,18,29,40,7
ACTR3C,14,1,3,78,70,143,108,145,148
ACTR5,0,0,0,0,0,0,0,0,0
ACTR6,0,0,0,0,0,0,0,0,0
ACTR8,14,8,11,100,175,177,129,160,150
ACTRT1,0,0,0,0,0,0,0,0,0
ACTRT2,1,0,1,0,0,7,10,0,6
ACTRT3,0,0,1,34,35,23,14,10,30
ACVR1,0,0,0,0,0,1,0,0,0
ACVR1B,0,1,1,2,10,22,13,10,8
ACVR1C,2,1,0,0,0,0,1,0,1
ACVR2A,0,0,0,0,0,0,0,0,0
ACVR2B,2,2,1,19,44,75,32,34,110
ACVR2B-AS1,10,4,4,36,32,16,25,14,101
ACVRL1,0,0,0,0,3,1,0,0,0
ACY1,0,0,0,0,0,0,0,0,0
ACY3,0,0,0,0,0,0,0,0,4
ACYP1,0,0,0,0,0,0,0,0,0
ACYP2,27,26,45,143,248,291,264,318,140
ADA,0,0,0,0,0,0,0,0,0
ADA2,0,0,0,0,0,0,0,0,0
ADAD1,0,0,0,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0,0,0,0
ADAL,23,17,23,285,288,336,259,285,289
ADAM10,0,0,0,32,57,65,35,84,51
ADAM11,0,1,0,0,6,19,4,3,5
ADAM12,224,203,177,2303,2493,2728,2828,2610,1760
ADAM15,23,45,37,274,343,283,335,262,215
ADAM17,8,16,14,101,141,171,170,183,153
ADAM18,0,0,0,0,0,0,0,0,0
ADAM19,0,0,0,0,0,1,0,0,0
ADAM2,0,0,0,0,0,0,0,0,0
ADAM20,0,0,0,0,0,0,0,0,0
ADAM20P1,0,0,0,0,0,0,0,6,0
ADAM21,0,0,0,0,0,0,4,0,0
ADAM21P1,5,6,7,25,32,30,0,37,19
ADAM22,0,0,0,0,0,4,0,7,0
ADAM23,0,3,4,32,0,17,16,10,6
ADAM28,0,0,0,0,0,0,0,0,0
ADAM29,0,0,0,2,10,0,0,0,0
ADAM30,0,0,0,0,0,0,0,0,0
ADAM32,0,0,0,0,0,0,0,0,0
ADAM33,0,0,0,0,0,1,0,0,0
ADAM3A,0,0,0,0,0,0,0,0,0
ADAM3B,0,0,0,0,0,0,0,0,0
ADAM5,0,0,0,0,0,0,0,0,0
ADAM6,1,1,1,28,12,11,32,9,24
ADAM7,0,0,0,0,0,0,0,0,0
ADAM8,0,0,0,0,0,0,0,0,0
ADAM9,2,0,3,19,12,17,5,6,4
ADAMDEC1,0,0,0,0,0,0,0,0,0
ADAMTS1,1,0,0,0,0,0,0,0,0
ADAMTS10,8,3,3,65,14,74,43,111,63
ADAMTS12,3,0,0,50,50,31,74,34,54
ADAMTS13,2,9,3,48,83,80,45,63,43
ADAMTS14,280,297,221,1600,1710,2192,1916,1344,1514
ADAMTS15,0,0,0,0,0,0,0,0,0
ADAMTS16,0,0,0,16,0,1,0,0,0
ADAMTS17,9,22,6,20,53,55,58,52,56
ADAMTS18,0,0,0,0,0,2,0,0,0
ADAMTS19,0,1,0,0,12,1,0,11,9
ADAMTS19-AS1,0,0,0,0,0,0,0,0,0
ADAMTS2,877,913,808,6194,6658,8960,10305,7076,7666
ADAMTS20,0,0,0,0,0,0,0,0,1
ADAMTS3,10,1,6,36,55,87,116,84,96
ADAMTS4,60,27,28,251,167,232,269,219,223
ADAMTS5,58,56,30,233,385,361,279,273,262
ADAMTS6,43,42,31,266,239,442,498,262,340
ADAMTS7,68,47,54,302,629,691,640,540,655
ADAMTS7P1,0,0,0,0,4,10,0,6,8
ADAMTS8,0,0,0,0,0,8,0,0,0
ADAMTS9,10,3,2,54,62,26,22,17,44
ADAMTS9-AS1,7,9,8,60,35,99,45,90,67
ADAMTS9-AS2,0,0,0,0,0,6,0,0,1
ADAMTSL1,0,0,0,0,0,0,0,0,0
ADAMTSL2,23,26,13,236,113,171,275,156,97
ADAMTSL3,1,3,0,0,0,6,0,9,5
ADAMTSL4,201,223,208,1341,1474,1669,1745,1439,1382
ADAMTSL4-AS1,0,0,0,0,0,11,18,1,9
ADAMTSL5,4,2,2,42,28,32,34,29,21
ADAP1,75,107,58,537,663,641,806,819,317
ADAP2,0,0,1,39,19,25,33,6,14
ADAR,8,7,1,22,50,33,64,55,22
ADARB1,239,224,205,1286,1137,1325,1657,1561,1086
ADARB2,19,7,8,37,142,148,104,58,70
ADARB2-AS1,0,0,0,1,10,1,5,25,5
ADAT1,24,29,20,131,168,220,127,208,148
ADAT2,4,1,3,0,13,42,11,27,34
ADAT3,24,20,37,195,160,150,114,138,66
ADCK1,489,536,465,3397,3053,3299,3427,2518,2235
ADCK2,0,0,0,0,0,0,0,0,0
ADCK5,6,23,24,80,142,224,261,284,140
ADCY1,0,0,0,0,0,0,1,0,0
ADCY10,65,88,76,588,482,805,712,559,398
ADCY10P1,0,0,0,0,0,0,0,0,0
ADCY2,0,0,0,0,0,0,0,0,0
ADCY3,1,2,2,0,64,51,40,65,36
ADCY4,2,0,2,19,14,8,3,8,34
ADCY5,6,5,14,26,65,55,42,78,28
ADCY6,1,0,0,0,0,3,2,22,6
ADCY6-DT,0,0,0,0,0,0,0,0,0
ADCY7,3,1,4,8,21,19,62,42,7
ADCY8,88,77,82,407,427,773,600,564,566
ADCY9,1,1,0,0,11,4,0,0,0
ADCYAP1,0,0,0,0,0,0,0,0,0
ADCYAP1R1,0,0,0,0,0,0,0,0,0
ADD1,67,40,45,345,381,459,507,491,288
ADD2,758,942,791,3261,3846,4455,4692,3778,3527
ADD3,0,0,0,0,0,0,0,0,0
ADD3-AS1,0,0,0,0,0,0,0,0,0
ADGB,0,0,0,0,0,2,0,0,0
ADGRA1,0,0,0,0,0,0,0,0,0
ADGRA1-AS1,0,0,0,0,0,0,0,0,0
ADGRA2,0,0,0,0,0,0,0,0,0
ADGRA3,48,42,33,282,382,583,645,471,327
ADGRB1,0,0,0,0,0,0,0,0,0
ADGRB2,162,211,124,1314,1193,1504,1802,1232,1426
ADGRB3,0,0,0,0,0,0,0,0,0
ADGRD1,1,0,0,0,35,18,20,2,10
ADGRD1-AS1,0,4,0,35,35,30,38,42,31
ADGRE1,0,0,0,0,0,0,7,0,0
ADGRE2,0,0,0,0,0,0,0,2,0
ADGRE3,50,73,55,585,500,419,699,526,436
ADGRE4P,0,1,0,17,11,26,15,0,2
ADGRE5,0,0,0,0,0,0,0,0,0
ADGRF1,0,1,2,3,0,6,0,0,0
ADGRF2,7,2,0,0,0,24,7,3,0
ADGRF3,25,19,30,109,184,235,244,218,143
ADGRF4,0,0,0,0,0,0,0,0,0
ADGRF5,0,0,0,0,0,0,0,0,0
ADGRF5-AS1,0,0,0,0,0,0,0,0,0
ADGRG1,3,5,9,61,61,100,71,84,30
ADGRG2,3,1,1,32,39,31,49,24,31
ADGRG3,6,5,17,76,97,99,88,71,50
ADGRG4,0,0,0,0,0,0,0,0,0
ADGRG5,6,7,10,48,44,80,50,48,27
ADGRG6,0,0,0,0,0,0,0,0,0
ADGRG7,0,0,0,0,0,4,0,0,0
ADGRL1,71,101,53,706,723,575,949,872,494
ADGRL2,6,2,6,1,22,15,32,6,26
ADGRL3,0,0,0,0,0,0,0,0,0
ADGRL3-AS1,0,0,0,0,0,0,0,0,0
ADGRL4,0,0,0,10,0,0,0,0,0
ADGRV1,13,17,23,132,269,265,237,185,281
ADH1A,7,2,5,18,45,78,59,89,70
ADH1B,36,17,23,188,186,367,312,297,388
ADH1C,3,3,3,8,8,36,15,29,17
ADH4,0,0,0,0,0,4,0,0,0
ADH5,0,0,0,0,12,0,0,0,7
ADH6,1,7,8,51,27,43,36,33,21
ADH7,0,1,1,4,35,29,57,32,28
ADHFE1,0,0,0,0,0,0,0,0,0
ADI1,85,94,68,807,761,902,798,682,650
ADIG,0,0,0,0,0,0,0,0,0
ADIPOQ,29,13,24,244,94,166,130,135,114
ADIPOQ-AS1,0,0,0,0,0,16,8,0,12
ADIPOR1,0,0,0,0,0,0,0,0,0
ADIPOR2,1,0,0,4,1,1,0,8,0
ADIRF,0,0,0,0,0,0,0,0,0
ADK,2,1,1,13,9,24,9,32,11
ADM,1,4,5,0,11,15,7,16,4
ADM2,0,0,0,0,0,0,0,0,0
ADM5,0,0,8,12,0,3,3,24,0
ADNP,0,0,0,1,13,9,0,0,0
ADNP-AS1,0,0,0,0,0,0,0,0,0
ADNP2,0,0,0,0,0,0,0,0,0
ADO,0,0,0,0,0,0,0,0,0
ADORA1,0,0,1,0,0,4,0,4,0
ADORA2A,14,8,19,50,85,89,75,91,79
ADORA2A-AS1,40,29,24,272,272,369,345,319,263
ADORA2B,49,38,57,321,392,474,437,354,483
ADORA3,0,0,0,0,0,0,0,0,0
ADPGK,0,0,1,0,10,15,13,10,24
ADPGK-AS1,11,1,8,34,98,89,34,94,63
ADPRH,38,49,51,538,510,459,608,634,504
ADPRHL1,3,8,1,50,16,38,12,80,31
ADPRM,4,2,1,21,33,12,14,24,7
ADPRS,4,1,4,9,40,57,60,66,29
ADRA1A,0,0,0,0,0,0,0,0,0
ADRA1B,1,4,0,6,36,20,21,6,33
ADRA1D,0,0,0,0,0,0,0,0,0
ADRA2A,0,0,0,0,0,0,0,0,0
ADRA2B,0,0,0,0,0,0,0,0,0
ADRA2C,0,0,4,32,0,1,0,0,0
ADRB1,0,0,0,0,0,5,0,0,0
ADRB2,0,0,0,0,0,0,0,0,0
ADRB3,14,13,4,53,84,102,186,125,115
ADRM1,3,4,5,2,9,23,28,20,23
ADSL,0,0,0,0,0,0,0,0,0
ADSS1,0,0,0,0,0,5,0,0,0
ADSS2,0,0,0,0,0,0,0,6,0
ADTRP,0,0,0,0,0,0,0,0,0
AEBP1,61,68,72,519,561,628,760,949,551
AEBP2,42,48,51,325,282,459,339,361,401
AEN,0,0,0,0,0,0,0,0,0
AFAP1,65,99,60,552,574,858,800,681,481
AFAP1-AS1,24,28,21,115,254,137,162,188,192
AFAP1L1,6,0,0,32,38,41,5,39,30
AFAP1L2,9,6,16,100,118,176,109,130,173
AFDN,0,0,0,0,0,0,0,0,0
AFDN-DT,0,0,0,0,0,0,0,0,0
AFF1,0,0,0,0,0,7,0,0,0
AFF1-AS1,0,0,0,0,0,0,0,0,0
AFF2,0,0,0,0,8,0,0,0,0
AFF3,32,21,32,92,117,181,82,179,127
AFF4,0,0,0,0,0,0,0,0,0
AFG1L,0,0,0,17,14,11,6,6,9
AFG3L1P,255,310,206,1478,1439,1579,2240,1743,1109
AFG3L2,525,536,500,4602,4599,5094,5823,4473,4299
AFM,0,0,0,0,0,1,0,0,0
AFMID,0,0,0,0,28,5,8,0,0
AFP,0,0,0,0,0,0,0,0,0
AFTPH,0,0,0,0,0,0,0,0,6
AGA,0,0,0,0,0,1,0,0,0
AGAP1,1,0,0,0,8,5,2,0,6
AGAP1-IT1,0,0,0,0,0,0,0,0,0
AGAP10P,0,0,0,0,0,0,0,0,0
AGAP11,0,0,0,0,0,0,0,0,0
AGAP12P,0,0,0,0,0,0,0,0,0
AGAP2,4,5,3,15,22,38,9,19,23
AGAP2-AS1,0,0,0,0,0,1,0,0,0
AGAP3,0,0,0,0,6,7,2,15,3
AGAP4,0,0,0,0,0,0,0,0,0
AGAP5,0,0,0,0,0,0,0,0,0
AGAP6,0,0,0,0,0,0,0,0,0
AGAP7P,0,0,0,0,0,0,0,0,0
AGAP9,0,0,0,0,0,0,0,0,0
AGBL1,24,7,7,46,86,150,87,124,90
AGBL1-AS1,17,12,3,46,76,58,94,84,47
AGBL2,145,140,117,1005,894,988,1088,878,842
AGBL3,11,0,4,14,11,17,10,5,19
AGBL4,0,1,0,4,5,1,0,7,11
AGBL4-AS1,0,0,0,0,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0,0,0,0,0
AGBL5,0,0,0,0,0,0,8,0,0
AGBL5-AS1,0,0,0,0,0,0,0,0,0
AGER,0,0,0,0,0,1,0,0,2
AGFG1,0,0,0,0,6,6,0,0,6
AGFG2,0,0,0,0,0,0,0,0,0
AGGF1,41,7,24,152,146,344,238,259,258
AGK,0,0,0,0,6,1,0,16,0
AGL,0,0,0,6,0,1,0,0,0
AGMAT,0,0,0,0,0,0,0,0,0
AGMO,0,5,0,0,0,3,0,0,3
AGO1,105,123,124,1166,1661,1707,1817,1616,1775
AGO2,0,0,0,0,0,0,0,0,0
AGO3,403,386,429,3197,2928,3076,3480,2773,2845
AGO4,246,282,284,2163,2219,2546,2981,2199,2543
AGPAT1,0,0,0,0,0,0,0,0,0
AGPAT2,1,0,0,0,4,0,0,0,0
AGPAT3,67,87,71,384,453,425,634,495,335
AGPAT4,0,0,0,0,0,0,0,0,0
AGPAT4-IT1,0,0,0,0,0,0,0,0,0
AGPAT5,0,0,0,0,0,0,0,0,0
AGPS,0,0,0,10,0,10,1,10,6
AGR2,1,0,2,0,6,17,10,15,10
AGR3,0,0,0,0,0,5,3,0,0
AGRN,11,3,5,44,73,84,125,119,76
AGRP,2,0,0,8,0,1,5,0,4
AGT,0,0,0,0,0,0,0,0,0
AGTPBP1,40,41,28,188,224,313,276,264,228
AGTR1,34,30,32,295,222,240,282,339,218
AGTR2,0,0,0,0,0,0,0,0,0
AGTRAP,45,41,50,314,279,199,407,327,281
AGXT,2,0,2,8,2,10,6,4,16
AGXT2,0,0,1,28,0,0,12,2,4
AHCTF1,7,2,3,34,117,85,161,113,74
AHCTF1P1,0,0,0,0,4,2,0,8,0
AHCY,245,228,240,1797,2114,2602,2852,2161,2116
AHCYL1,1,0,0,0,0,0,0,0,0
AHCYL2,20,2,6,57,87,50,78,45,40
AHDC1,0,0,0,0,0,1,0,0,0
AHI1,49,54,43,289,346,506,479,485,469
AHNAK,282,251,237,1962,2281,2152,3140,2571,2145
AHNAK2,0,0,0,0,0,0,0,8,0
AHR,119,42,54,504,642,793,783,521,609
AHRR,16,9,19,110,74,63,95,87,71
AHSA1,0,0,0,0,0,0,0,0,0
AHSA2P,2,6,0,23,74,47,36,18,36
AHSG,0,0,0,0,0,0,0,0,0
AHSP,0,0,0,0,0,0,0,1,0
AICDA,0,0,0,0,0,0,0,0,0
AIDA,1,0,0,1,1,2,1,0,1
AIF1,38,45,52,355,429,339,438,419,310
AIF1L,75,86,52,222,301,270,305,228,134
AIFM1,0,0,0,2,0,0,0,0,1
AIFM2,8,1,9,24,35,52,88,59,60
AIFM3,0,0,0,0,0,5,0,0,0
AIG1,25,5,9,82,78,151,121,175,147
AIM2,0,0,0,0,0,1,0,0,0
AIMP1,0,3,3,11,43,57,43,25,50
AIMP2,5,0,2,2,33,5,7,15,12
AIP,0,2,0,0,0,3,0,22,1
AIPL1,6,0,1,1,20,11,6,0,2
AIRE,9,4,23,112,61,79,82,56,53
AIRN,0,0,0,0,0,0,0,0,0
AJAP1,5,0,8,20,0,4,0,0,0
AJM1,0,0,0,0,0,0,0,0,0
AJUBA,0,0,0,7,0,2,0,0,0
AK1,6,0,3,11,15,19,13,45,16
AK2,2,0,8,32,51,38,49,42,39
AK3,551,607,575,4972,5676,7400,7563,5401,5414
AK4,3,7,1,51,45,46,114,32,29
AK5,1,0,1,0,18,12,0,11,29
AK6,0,0,0,0,0,0,0,0,0
AK7,0,0,0,0,0,0,0,0,0
AK8,11,6,6,19,37,42,31,29,17
AK9,15,13,7,86,123,180,161,126,108
AKAIN1,0,0,0,0,0,0,0,0,0
